config.py | 09/03/22 - 18:34:57 | INFO | Random Tweet bot running
config.py | 09/03/22 - 18:34:57 | INFO | Random Tweet bot running
config.py | 09/03/22 - 18:34:57 | INFO | API Created
config.py | 09/03/22 - 18:36:15 | DEBUG | PARAMS: {'status': 'Justin Mccareins (WR) had 0 defensive two point conversions in 2003.'}
config.py | 09/03/22 - 18:36:15 | DEBUG | Signing request <PreparedRequest [POST]> using client <Client client_key=WVqENKWlkkbh6nq0nbDsxeYOO, client_secret=****, resource_owner_key=1373049656318431232-76jl2CYFCxfA0Puj98Lee7dibOD62y, resource_owner_secret=****, signature_method=HMAC-SHA1, signature_type=AUTH_HEADER, callback_uri=None, rsa_key=None, verifier=None, realm=None, encoding=utf-8, decoding=None, nonce=None, timestamp=None>
config.py | 09/03/22 - 18:36:15 | DEBUG | Including body in call to sign: False
config.py | 09/03/22 - 18:36:15 | DEBUG | Collected params: [('status', 'Justin Mccareins (WR) had 0 defensive two point conversions in 2003.'), ('oauth_nonce', '122545471181368522891662255375'), ('oauth_timestamp', '1662255375'), ('oauth_version', '1.0'), ('oauth_signature_method', 'HMAC-SHA1'), ('oauth_consumer_key', 'WVqENKWlkkbh6nq0nbDsxeYOO'), ('oauth_token', '1373049656318431232-76jl2CYFCxfA0Puj98Lee7dibOD62y')]
config.py | 09/03/22 - 18:36:15 | DEBUG | Normalized params: oauth_consumer_key=WVqENKWlkkbh6nq0nbDsxeYOO&oauth_nonce=122545471181368522891662255375&oauth_signature_method=HMAC-SHA1&oauth_timestamp=1662255375&oauth_token=1373049656318431232-76jl2CYFCxfA0Puj98Lee7dibOD62y&oauth_version=1.0&status=Justin%20Mccareins%20%28WR%29%20had%200%20defensive%20two%20point%20conversions%20in%202003.
config.py | 09/03/22 - 18:36:15 | DEBUG | Normalized URI: https://api.twitter.com/1.1/statuses/update.json
config.py | 09/03/22 - 18:36:15 | DEBUG | Signing: signature base string: POST&https%3A%2F%2Fapi.twitter.com%2F1.1%2Fstatuses%2Fupdate.json&oauth_consumer_key%3DWVqENKWlkkbh6nq0nbDsxeYOO%26oauth_nonce%3D122545471181368522891662255375%26oauth_signature_method%3DHMAC-SHA1%26oauth_timestamp%3D1662255375%26oauth_token%3D1373049656318431232-76jl2CYFCxfA0Puj98Lee7dibOD62y%26oauth_version%3D1.0%26status%3DJustin%2520Mccareins%2520%2528WR%2529%2520had%25200%2520defensive%2520two%2520point%2520conversions%2520in%25202003.
config.py | 09/03/22 - 18:36:15 | DEBUG | Signature: Hmv3Br5W1aeq4jo0gl8EfoAVWaE=
config.py | 09/03/22 - 18:36:15 | DEBUG | Updated url: https://api.twitter.com/1.1/statuses/update.json?status=Justin+Mccareins+%28WR%29+had+0+defensive+two+point+conversions+in+2003.
config.py | 09/03/22 - 18:36:15 | DEBUG | Updated headers: {'User-Agent': 'Python/3.9.2 Requests/2.28.1 Tweepy/4.10.1', 'Accept-Encoding': 'gzip, deflate', 'Accept': '*/*', 'Connection': 'keep-alive', 'Content-Length': '0', 'Authorization': 'OAuth oauth_nonce="122545471181368522891662255375", oauth_timestamp="1662255375", oauth_version="1.0", oauth_signature_method="HMAC-SHA1", oauth_consumer_key="WVqENKWlkkbh6nq0nbDsxeYOO", oauth_token="1373049656318431232-76jl2CYFCxfA0Puj98Lee7dibOD62y", oauth_signature="Hmv3Br5W1aeq4jo0gl8EfoAVWaE%3D"'}
config.py | 09/03/22 - 18:36:15 | DEBUG | Updated body: None
config.py | 09/03/22 - 18:36:15 | DEBUG | Starting new HTTPS connection (1): api.twitter.com:443
config.py | 09/03/22 - 18:36:16 | DEBUG | https://api.twitter.com:443 "POST /1.1/statuses/update.json?status=Justin+Mccareins+%28WR%29+had+0+defensive+two+point+conversions+in+2003. HTTP/1.1" 200 1041
config.py | 09/03/22 - 18:38:44 | INFO | Random Tweet bot running
config.py | 09/03/22 - 18:38:50 | INFO | Reply bot running
config.py | 09/03/22 - 18:38:50 | INFO | API Created
config.py | 09/03/22 - 18:39:28 | INFO | Random Tweet bot running
config.py | 09/03/22 - 18:39:32 | INFO | Mentions bot running
config.py | 09/03/22 - 18:39:32 | INFO | API Created
config.py | 09/03/22 - 18:39:32 | DEBUG | PARAMS: {'since_id': '0'}
config.py | 09/03/22 - 18:39:32 | DEBUG | Signing request <PreparedRequest [GET]> using client <Client client_key=WVqENKWlkkbh6nq0nbDsxeYOO, client_secret=****, resource_owner_key=1373049656318431232-76jl2CYFCxfA0Puj98Lee7dibOD62y, resource_owner_secret=****, signature_method=HMAC-SHA1, signature_type=AUTH_HEADER, callback_uri=None, rsa_key=None, verifier=None, realm=None, encoding=utf-8, decoding=None, nonce=None, timestamp=None>
config.py | 09/03/22 - 18:39:32 | DEBUG | Including body in call to sign: False
config.py | 09/03/22 - 18:39:32 | DEBUG | Collected params: [('since_id', '0'), ('oauth_nonce', '42800306221722420211662255572'), ('oauth_timestamp', '1662255572'), ('oauth_version', '1.0'), ('oauth_signature_method', 'HMAC-SHA1'), ('oauth_consumer_key', 'WVqENKWlkkbh6nq0nbDsxeYOO'), ('oauth_token', '1373049656318431232-76jl2CYFCxfA0Puj98Lee7dibOD62y')]
config.py | 09/03/22 - 18:39:32 | DEBUG | Normalized params: oauth_consumer_key=WVqENKWlkkbh6nq0nbDsxeYOO&oauth_nonce=42800306221722420211662255572&oauth_signature_method=HMAC-SHA1&oauth_timestamp=1662255572&oauth_token=1373049656318431232-76jl2CYFCxfA0Puj98Lee7dibOD62y&oauth_version=1.0&since_id=0
config.py | 09/03/22 - 18:39:32 | DEBUG | Normalized URI: https://api.twitter.com/1.1/statuses/mentions_timeline.json
config.py | 09/03/22 - 18:39:32 | DEBUG | Signing: signature base string: GET&https%3A%2F%2Fapi.twitter.com%2F1.1%2Fstatuses%2Fmentions_timeline.json&oauth_consumer_key%3DWVqENKWlkkbh6nq0nbDsxeYOO%26oauth_nonce%3D42800306221722420211662255572%26oauth_signature_method%3DHMAC-SHA1%26oauth_timestamp%3D1662255572%26oauth_token%3D1373049656318431232-76jl2CYFCxfA0Puj98Lee7dibOD62y%26oauth_version%3D1.0%26since_id%3D0
config.py | 09/03/22 - 18:39:32 | DEBUG | Signature: mVhZEWfJmJ3KxVefkMmqfwa0qqg=
config.py | 09/03/22 - 18:39:32 | DEBUG | Updated url: https://api.twitter.com/1.1/statuses/mentions_timeline.json?since_id=0
config.py | 09/03/22 - 18:39:32 | DEBUG | Updated headers: {'User-Agent': 'Python/3.9.2 Requests/2.28.1 Tweepy/4.10.1', 'Accept-Encoding': 'gzip, deflate', 'Accept': '*/*', 'Connection': 'keep-alive', 'Authorization': 'OAuth oauth_nonce="42800306221722420211662255572", oauth_timestamp="1662255572", oauth_version="1.0", oauth_signature_method="HMAC-SHA1", oauth_consumer_key="WVqENKWlkkbh6nq0nbDsxeYOO", oauth_token="1373049656318431232-76jl2CYFCxfA0Puj98Lee7dibOD62y", oauth_signature="mVhZEWfJmJ3KxVefkMmqfwa0qqg%3D"'}
config.py | 09/03/22 - 18:39:32 | DEBUG | Updated body: None
config.py | 09/03/22 - 18:39:32 | DEBUG | Starting new HTTPS connection (1): api.twitter.com:443
config.py | 09/03/22 - 18:39:32 | DEBUG | https://api.twitter.com:443 "GET /1.1/statuses/mentions_timeline.json?since_id=0 HTTP/1.1" 400 92
config.py | 09/03/22 - 18:39:32 | DEBUG | PARAMS: {'since_id': '0'}
config.py | 09/03/22 - 18:39:32 | DEBUG | Signing request <PreparedRequest [GET]> using client <Client client_key=WVqENKWlkkbh6nq0nbDsxeYOO, client_secret=****, resource_owner_key=1373049656318431232-76jl2CYFCxfA0Puj98Lee7dibOD62y, resource_owner_secret=****, signature_method=HMAC-SHA1, signature_type=AUTH_HEADER, callback_uri=None, rsa_key=None, verifier=None, realm=None, encoding=utf-8, decoding=None, nonce=None, timestamp=None>
config.py | 09/03/22 - 18:39:32 | DEBUG | Including body in call to sign: False
config.py | 09/03/22 - 18:39:32 | DEBUG | Collected params: [('since_id', '0'), ('oauth_nonce', '55966536395729031211662255572'), ('oauth_timestamp', '1662255572'), ('oauth_version', '1.0'), ('oauth_signature_method', 'HMAC-SHA1'), ('oauth_consumer_key', 'WVqENKWlkkbh6nq0nbDsxeYOO'), ('oauth_token', '1373049656318431232-76jl2CYFCxfA0Puj98Lee7dibOD62y')]
config.py | 09/03/22 - 18:39:32 | DEBUG | Normalized params: oauth_consumer_key=WVqENKWlkkbh6nq0nbDsxeYOO&oauth_nonce=55966536395729031211662255572&oauth_signature_method=HMAC-SHA1&oauth_timestamp=1662255572&oauth_token=1373049656318431232-76jl2CYFCxfA0Puj98Lee7dibOD62y&oauth_version=1.0&since_id=0
config.py | 09/03/22 - 18:39:32 | DEBUG | Normalized URI: https://api.twitter.com/1.1/statuses/mentions_timeline.json
config.py | 09/03/22 - 18:39:32 | DEBUG | Signing: signature base string: GET&https%3A%2F%2Fapi.twitter.com%2F1.1%2Fstatuses%2Fmentions_timeline.json&oauth_consumer_key%3DWVqENKWlkkbh6nq0nbDsxeYOO%26oauth_nonce%3D55966536395729031211662255572%26oauth_signature_method%3DHMAC-SHA1%26oauth_timestamp%3D1662255572%26oauth_token%3D1373049656318431232-76jl2CYFCxfA0Puj98Lee7dibOD62y%26oauth_version%3D1.0%26since_id%3D0
config.py | 09/03/22 - 18:39:32 | DEBUG | Signature: XDLo5akSH1vREcyn7gJSiRZUGRw=
config.py | 09/03/22 - 18:39:32 | DEBUG | Updated url: https://api.twitter.com/1.1/statuses/mentions_timeline.json?since_id=0
